name,county,county_code
Costesti,Alba,AB
Ganesti,Alba,AB
Plai,Alba,AB
Plesi,Alba,AB
Barlesti,Alba,AB
Garda Seaca,Alba,AB
Valea Abruzel,Alba,AB
Hudricesti,Alba,AB
Bilanesti,Alba,AB
Fata Lapusului,Alba,AB
Buninginea,Alba,AB
Izlaz,Alba,AB
Poieni,Alba,AB
Borlesti,Alba,AB
Bucuru,Alba,AB
Coasta Hentii,Alba,AB
Valea Caselor,Alba,AB
Campu Goblii,Alba,AB
Cotorasti,Alba,AB
Dumitra,Alba,AB
Jidostina,Alba,AB
Plescuta,Alba,AB
Valea Barnii,Alba,AB
Coasta Vascului,Alba,AB
Valea Negrilesii,Alba,AB
Dealu Caselor,Alba,AB
Lunca,Alba,AB
Tomutesti,Alba,AB
Ghioncani,Alba,AB
Lunca Metesului,Alba,AB
Ormenis,Alba,AB
Parau lui Mihai,Alba,AB
Cerbu,Alba,AB
Ghetari,Alba,AB
Duduieni,Alba,AB
Dupa Deal,Alba,AB
Lunca Larga,Alba,AB
Biharia,Alba,AB
Intregalde,Alba,AB
Pantesti,Alba,AB
Dealu Bistrii,Alba,AB
Calene,Alba,AB
Luminesti,Alba,AB
Ratitis,Alba,AB
Snide,Alba,AB
Bucium,Alba,AB
Cionesti,Alba,AB
Fagetu de Jos,Alba,AB
Feteni,Alba,AB
Lespezea,Alba,AB
Soal,Alba,AB
Dolesti,Alba,AB
Fata-Lazesti,Alba,AB
Lazesti,Alba,AB
Valea Alba,Alba,AB
Valea Inzelului,Alba,AB
Dandut,Alba,AB
Dumbrava,Alba,AB
Hanasesti,Alba,AB
Ivanis,Alba,AB
Lunca Larga,Alba,AB
Poiana,Alba,AB
Tifra,Alba,AB
Budaiesti,Alba,AB
Botesti,Alba,AB
Calugaresti,Alba,AB
Dealu Geoagiului,Alba,AB
Hanasesti,Alba,AB
Rogoz,Alba,AB
Vulcan,Alba,AB
Dumesti,Alba,AB
Fata Pietrii,Alba,AB
Huzaresti,Alba,AB
Valea Mlacii,Alba,AB
Popestii de Jos,Alba,AB
Spatac,Alba,AB
Varsii Mici,Alba,AB
Dragoiesti-Lunca,Alba,AB
Valea Goblii,Alba,AB
Haiducesti,Alba,AB
Motorasti,Alba,AB
Trifesti,Alba,AB
Garda-Barbulesti,Alba,AB
Sfoartea,Alba,AB
Gura Rosiei,Alba,AB
Vidrisoara,Alba,AB
Arieseni,Alba,AB
Giurgiut,Alba,AB
Valea Uzei,Alba,AB
Blidesti,Alba,AB
Dealu Frumos,Alba,AB
Ignatesti,Alba,AB
Hoanca,Alba,AB
Ghedulesti,Alba,AB
Margineni,Alba,AB
Preluca,Alba,AB
Verdesti,Alba,AB
Plaiuri,Alba,AB
Soimus,Alba,AB
Certege,Alba,AB
Furduiesti,Alba,AB
Petelei,Alba,AB
Coslariu Nou,Alba,AB
Faget,Alba,AB
Preluca,Alba,AB
Bubesti,Alba,AB
Vladosesti,Alba,AB
Cocesti,Alba,AB
Colibi,Alba,AB
Valea Poienii,Alba,AB
Dupa Deal,Alba,AB
Mununa,Alba,AB
Anghelesti,Alba,AB
Culdesti,Alba,AB
Stei-Arieseni,Alba,AB
Valea Ciuciului,Alba,AB
Cristesti,Alba,AB
Dealu Goiesti,Alba,AB
Dos,Alba,AB
Valea Cerbului,Alba,AB
Budeni,Alba,AB
Butesti,Alba,AB
Ceru-Bacainti,Alba,AB
Odverem,Alba,AB
Potionci,Alba,AB
Sfarcea,Alba,AB
Bocsitura,Alba,AB
Mancesti,Alba,AB
Runc,Alba,AB
Vinta,Alba,AB
Balesti-Catun,Alba,AB
Lunca Vesesti,Alba,AB
Manastire,Alba,AB
Nemesi,Alba,AB
Tomusesti,Alba,AB
Durasti,Alba,AB
Patrahaitesti,Alba,AB
Goiesti,Alba,AB
Zanzesti,Alba,AB
Barlesti,Alba,AB
Valea Sesii,Alba,AB
Posogani,Alba,AB
Coleseni,Alba,AB
Bobaresti,Alba,AB
Lunca Bisericii,Alba,AB
Teiu,Alba,AB
Valea Bucurului,Alba,AB
Lehesti,Alba,AB
Oidesti,Alba,AB
Puiuletesti,Alba,AB
Sebisesti,Alba,AB
Lunca Goiesti,Alba,AB
Orgesti,Alba,AB
Plai,Alba,AB
Sturu,Alba,AB
Incesti,Alba,AB
Peles,Alba,AB
Izbita,Alba,AB
Namas,Alba,AB
Cojocani,Alba,AB
Valtori,Alba,AB
Plesesti,Alba,AB
Rusesti,Alba,AB
Sucesti,Alba,AB
Dambureni,Alba,AB
Hodobana,Alba,AB
Izvoarele,Alba,AB
Petreasa,Alba,AB
Tecsesti,Alba,AB
Valea Tupilor,Alba,AB
Burzonesti,Alba,AB
Ciuculesti,Alba,AB
Criseni,Alba,AB
Cucuta,Alba,AB
Matei,Alba,AB
Simocesti,Alba,AB
Stauini,Alba,AB
Dobresti,Alba,AB
Martesti,Alba,AB
Poienita,Alba,AB
Padurea,Alba,AB
Rusi,Alba,AB
Patrutesti,Alba,AB
Podu lui Paul,Alba,AB
Rosesti,Alba,AB
Vidra,Alba,AB
Bogdanesti,Alba,AB
Floresti,Alba,AB
Valea Fagetului,Alba,AB
Bazesti,Alba,AB
Casa de Piatra,Alba,AB
Poiu,Alba,AB
Ramet,Alba,AB
Coroiesti,Alba,AB
Ficaresti,Alba,AB
Gojeiesti,Alba,AB
